decile,mean_excess_return,mean_excess_t,alpha,alpha_t,alpha_p,capm_beta,r_squared,r_squared_adj,alpha_ff3,alpha_ff3_t,alpha_carhart,alpha_carhart_t,alpha_q,alpha_q_t,alpha_ff5,alpha_ff5_t,mean_assigned_beta,volatility,sharpe,n_months,mean_stocks
1,0.008885714345975685,4.5382830752179135,0.006919826053924967,4.335171222923122,1.4564670986365025e-05,0.3561494245843144,0.46158291227239234,0.4594292439214819,0.00651316706418931,4.98080047765813,0.006474538694948054,4.875558775025425,0.006017052065769995,4.294456001654001,0.005764166292020433,4.071007469035087,0.470974536170157,8.292919728926327,1.2857784186645353,252,282.9087301587302
2,0.010446113307830086,5.001882938162872,0.007475159054584457,4.650430840757688,3.312423121876685e-06,0.5382318273313439,0.6196461465387022,0.618124731124857,0.006969606342019062,6.253603379169775,0.0068736127887700175,6.055724254527597,0.00556105124643491,4.862991205107182,0.00495662391102945,4.599650005601842,0.6457172982232976,10.816769491701915,1.1588798281235988,252,282.42857142857144
3,0.010439154038722023,4.770596589906125,0.006873588403482863,3.8891491040584167,0.00010059630223019151,0.6459543782029256,0.6488868309924906,0.6474823783164605,0.006238175678896691,5.637606249167776,0.00619103110703257,5.542008612169406,0.004684466237618783,3.9912661028297562,0.003954413693137071,3.8822466088133942,0.7492342635410479,12.685787788621303,0.9874818225875325,252,282.3412698412698
4,0.00998200643448001,4.047448402136768,0.005790558840682751,3.118615706239943,0.0018170278238445017,0.7593420515002949,0.6862439978211493,0.684988973812434,0.005106255053642079,4.2676744980127745,0.005057979490408511,4.1191774911066386,0.003371445154030006,2.490992531101548,0.0028039583673086484,2.4892959247257296,0.8261188141706162,14.501009862501704,0.8260395541383009,252,282.44444444444446
5,0.009780816274887187,3.6286335418283553,0.004956587444119112,2.388011009803154,0.01693983429901361,0.8739796300169342,0.710521096089757,0.7093631804741161,0.004191462515651775,3.220525381612515,0.004300468663771477,3.2989486534783095,0.002354231252909835,1.6605470560794937,0.0016511133178298202,1.3422570878752638,0.8939852399636935,16.402607704592025,0.7155557056076378,252,282.47222222222223
6,0.00980649705182511,3.372695497172505,0.004462908367115071,1.9429762455969437,0.052019028497364325,0.9680692656699716,0.6976893317001889,0.6964800890269897,0.0036512881189684518,2.553185895396953,0.00387214279661838,2.6877326473056167,0.0015673957755237868,1.0261055859597965,0.0010906575872507206,0.8376526353632749,0.9616747086160863,18.334770041173385,0.6418295094928289,252,282.234126984127
7,0.00863649457052071,2.7787235717047256,0.0027138915294103454,1.1733392441006691,0.24065979070670795,1.0729661871745593,0.732311341133712,0.7312405864982469,0.0018052157172688864,1.2547560240579632,0.002159777114539586,1.4977130398320135,6.73908653881449e-05,0.040456467815835645,-0.0003997627694085799,-0.2792171612486406,1.0337495591753256,19.835275283304803,0.5224930502148349,252,282.32936507936506
8,0.009384063792741216,2.721889684820418,0.0026861729765563455,1.0851105630368136,0.27787268947284427,1.2134209099055264,0.741663717998255,0.7406303728702481,0.0015545941189304047,1.0174029182802553,0.002088850637307754,1.404872793352245,0.00020887068804782932,0.1271456376511312,-0.0002693287790169446,-0.18320674853950056,1.1195970778133193,22.289895563855982,0.5052009561475671,252,282.45238095238096
9,0.009380944011467347,2.348978637389497,0.001440250053317145,0.5578116282424961,0.5769730214477004,1.4385728809876717,0.7578224126232089,0.7568537022737017,0.00015205451582880544,0.0857895335683573,0.0011256267945882453,0.659521925155231,3.349414830283715e-05,0.017551172827993254,-0.0003940664934542656,-0.21099986912730032,1.242375295998939,26.142566560391373,0.4306054949790778,252,282.3095238095238
10,0.011367255500189813,2.0877617966203186,0.0006561756069997046,0.19354156215517018,0.8465348594351915,1.940468823209136,0.7301921686745549,0.7291129373492531,-0.0008367798350980525,-0.295175267129086,0.0010045212925262718,0.39360821481512515,0.001976362837764583,0.7121461544085684,0.0016462395625324137,0.5069856152006631,1.5737283401798234,35.92428723747273,0.3797070909175649,252,282.8174603174603
